Project Financial Summary - Parkway Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared as of 10/31/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Summary per lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Previous Sales/Allocations,,,,,,,,Sales,Cost of land,Cost of direct dev,Cost of water,Cost of indirects,Total cost,Margin,,,,,,,,,,,,,,,,,,,,,
,,,,,Pony Express,,,,Parkway Fields Pony Express,,,  -   ,  -   ,  -   ,  -   ,,"  1,965,647.70 ",,"  1,965,647.70 ",Actuals,,,,,,,,,,,,,,,,,,,
,,,,,Pool,,,,Parkway Fields Pool,,,  -   ,  -   ,  -   ,  -   ,,,,,Actuals,,,,,,,,,,,,,,,,,,,
,,,,,Stored Material,,,,Parkway Fields stored material,,,  -   ,  -   ,  -   ,  -   ,,,,,Actuals,,,,,,,,,,,,,,,,,,,
,,,,,Other,,,,Ault Farms aka Parkway Fields - Other,,,  -   ,  -   ,  -   ,  -   ,,"  (2,520,943.79)",,"  (2,520,943.79)",Actuals,,,,,,,,,,,,,,,,,,,
,,,,,Water shares,,,,Ault Water,,,  -   ,  -   ,  -   ,  -   ,,,"  702,262.00 ",,From Dev team water rights file,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,"  (1,249,493.54)","  2,802,262.00 ","  (1,249,493.54)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Allocation,,,,,,,,,,,,,,,,,,,,,,,,Land,Direct,Water,Indirects,,,,,,,,,
,,,,,Phase,ProdType,Lots,,,,,Sales,Cost of land,Cost of direct dev,Cost of water,Cost of indirects,Total cost,Margin,,,,Assumed Price/Lot,Ext. Sales Price,PRSV%,CRSV%,,Allocation 1,Allocation 2,Allocation 3,Allocation 4,Allocation 5,Allocation 6,Allocation 7,Allocation 8,Allocation 9,Allocation 10,,Total Allocated,
,,,,Previous Sales/Allocations,,,,,,,,,,,,,,,,,,,,,,,*Tie to GL transactions,,,,,,,,,,,,
,,,,,B2,SFR,72,,,,,"  10,194,032.68 ","  (1,717,180.06)","  (4,712,256.00)","  (277,547.44)","  (730,701.52)","  (7,437,685.02)","  2,756,347.66 ",27.04%,,,"  141,583.79 ","  10,194,032.68 ",60.33%,25.61%,,"  1,717,180.06 ","  4,712,256.00 ","  277,547.44 ","  730,701.52 ",,,,,,,,"  7,437,685.02 ",
,,,,,B2,SFR,51,,,,,"  6,702,030.00 ","  (1,128,953.84)","  (3,470,866.20)","  (182,472.56)","  (480,397.07)","  (5,262,689.67)","  1,439,340.33 ",21.48%,"  38,702,473.81 ",,"  131,412.35 ","  6,702,030.00 ",39.67%,16.84%,,"  1,128,953.84 ","  3,470,866.20 ","  182,472.56 ","  480,397.07 ",,,,,,,,"  5,262,689.67 ",
,,,,,D1,SFR,127,,,,,"  17,906,411.13 ","  (2,231,229.43)","  (9,504,934.00)","  (1,010,577.21)","  (1,011,401.61)","  (13,758,142.25)","  4,148,268.88 ",23.17%,"  137,731.22 ",,"  140,995.36 ","  17,906,411.13 ",82.12%,44.99%,,"  2,231,229.43 ","  9,504,934.00 ","  1,010,577.21 ","  1,011,401.61 ",,,,,,,,"  13,758,142.25 ",
,,,,,D1,SFR,31,,,,,"  3,900,000.00 ","  (485,959.73)","  (2,133,947.66)","  (220,102.79)","  (220,282.35)","  (3,060,292.53)","  839,707.47 ",21.53%,,,"  125,806.45 ","  3,900,000.00 ",17.88%,9.80%,,"  485,959.73 ","  2,133,947.66 ","  220,102.79 ","  220,282.35 ",,,,,,,,"  3,060,292.53 ",
,,,,,G1,Church,1,,,,,"  1,100,000.00 ","  (375,808.50)",  -   ,  -   ,"  (201,634.27)","  (577,442.77)","  522,557.23 ",47.51%,,,"  1,100,000.00 ","  1,100,000.00 ",100.00%,2.76%,,"  375,808.50 ",,,"  201,634.27 ",,,,,,,,"  577,442.77 ",
,,,,,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,,,  -   ,0.00%,0.00%,,,,,,,,,,,,,  -   ,
